 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu135	0	3	2	16	139	56	0	0	5	9	18	16
Zotu111	0	72	0	0	0	3	0	0	0	0	1	0
Zotu160	0	26	1	6	34	47	1	0	5	20	4	5
Zotu182	0	28	1	6	5	2	1	26	3	0	3	0
Zotu177	0	30	0	0	0	0	0	2	0	0	0	0
Zotu93	0	90	0	0	7	6	6	3	0	1	13	6
Zotu510	0	4	0	0	0	0	0	0	0	0	0	0
Zotu942	0	2	0	0	1	0	0	1	0	0	0	0
Zotu455	0	2	0	0	0	0	0	0	0	0	0	0
Zotu196	0	15	1	0	0	0	15	2	0	9	13	13
Zotu394	0	2	0	0	1	0	0	0	0	0	0	5
Zotu207	0	24	0	0	1	11	0	4	0	1	4	3
Zotu279	0	8	1	0	7	0	0	0	0	1	0	0
Zotu414	0	4	0	0	0	0	0	1	0	4	0	3
Zotu435	0	3	1	0	0	1	0	0	0	0	0	0
Zotu499	0	3	0	0	0	3	1	0	0	0	0	0
Zotu676	0	2	0	0	0	0	0	0	0	0	0	0
Zotu299	0	6	0	0	0	0	4	4	9	4	3	23
Zotu563	0	2	1	1	0	0	0	0	0	0	0	0
Zotu375	0	3	0	0	0	0	3	0	0	1	0	0
Zotu230	0	9	1	0	4	0	0	1	6	2	2	3
Zotu79	0	2	2	0	3	7	14	115	471	20	1	29
Zotu420	0	14	0	0	0	0	0	1	0	0	5	0
Zotu308	0	9	0	0	0	0	0	0	0	0	0	0
Zotu426	0	6	0	0	0	0	0	0	0	0	0	3
Zotu622	0	1	0	0	0	2	0	0	0	0	18	0
Zotu326	0	8	0	16	4	8	4	5	1	2	0	5
Zotu173	0	7	0	39	20	18	0	0	0	0	0	0
Zotu778	0	4	0	0	0	0	2	0	0	2	0	1
Zotu324	0	9	0	0	0	0	1	4	0	0	0	1
Zotu271	0	10	0	0	0	0	5	0	0	1	2	1
Zotu117	0	48	0	0	0	0	10	2	0	0	0	1
Zotu459	0	4	0	0	0	1	0	2	0	1	0	1
Zotu660	0	4	0	0	0	0	0	0	0	0	0	1
Zotu312	0	8	9	9	8	3	2	0	0	1	0	0
Zotu456	0	1	0	1	5	0	0	0	2	1	0	2
Zotu156	0	41	6	5	4	17	12	0	0	0	0	5
Zotu715	0	1	0	0	0	0	0	0	0	0	0	0
Zotu328	0	3	0	0	4	1	4	4	3	5	0	8
Zotu703	0	3	0	0	0	9	0	0	0	0	13	1
Zotu638	0	4	0	2	3	0	0	0	0	1	0	0
Zotu735	0	2	0	0	0	0	0	0	0	0	0	0
Zotu393	0	7	0	0	0	0	0	0	0	0	0	0
Zotu548	0	3	0	0	0	0	0	2	0	0	0	0
Zotu412	0	12	0	0	0	0	0	0	0	0	0	0
Zotu364	0	3	0	2	2	0	1	0	1	0	0	36
Zotu282	0	7	0	0	0	0	0	3	0	0	0	0
Zotu771	0	1	0	0	0	1	0	1	0	0	0	0
Zotu531	0	5	0	0	5	0	3	1	0	0	0	1
